case_id,title,repair_ms,enhance_ms,total_ms,peak_gpu_mem_mb,repaired_path,enhanced_path,repaired_sha256,enhanced_sha256
case01_natural_texture,自然纹理划痕修复与超分增强,166.9119,9.9160,176.8279,38.25,paper_results/gpu_full_pipeline/cases/case01_natural_texture/gpu_project/04_gpu_repaired.png,paper_results/gpu_full_pipeline/cases/case01_natural_texture/gpu_project/05_gpu_repaired_enhanced.png,4daf633e40e554c4e942a286f8531a0d59f09739184a60e90c2a9f3b2177e821,9a2cda483981abf770e07b7e58e2da1718778717a607cf54701436f51dbd50b0
case02_indoor_structure,室内结构小面积遮挡修复与超分增强,18.5971,9.1587,27.7558,38.25,paper_results/gpu_full_pipeline/cases/case02_indoor_structure/gpu_project/04_gpu_repaired.png,paper_results/gpu_full_pipeline/cases/case02_indoor_structure/gpu_project/05_gpu_repaired_enhanced.png,3845afe7c823d765e01722b285b371d32db4026198c7e25b580be0e0a7d3322c,664df05dac0792dbc07129fc82fc7eb32f7f21364e10a3074e81557d01a89a33
case03_scene_depth,复杂场景水印式缺损修复与超分增强,18.1216,10.2094,28.3310,38.25,paper_results/gpu_full_pipeline/cases/case03_scene_depth/gpu_project/04_gpu_repaired.png,paper_results/gpu_full_pipeline/cases/case03_scene_depth/gpu_project/05_gpu_repaired_enhanced.png,1264ed481b8132d6bf69c9642b5bdeaf330ca87648b1c785578c7992debefab7,003cb48b2df59f07b93ea6f249672daef4dda0e7d5948248277c71cdfbc5ac94
